name,season_year
Brown,nov-jan 1606
Christopher Davison,nov-jan 1606
Christopher Davison,nov-jan 1606
Christopher Davison,nov-jan 1606
Newport,nov-jan 1606
Brown,nov-jan 1606
Thomas Smythe,nov-jan 1605
Rich,nov-jan 1605
Boates,nov-jan 1605
Nos,nov-jan 1605
Brown,feb-sept 1608
Newport,feb-sept 1609
Smith,feb-sept 1609
Smith,feb-sept 1609
Newport,feb-sept 1609
Newport,feb-sept 1609
Brown,feb-sept 1609
Brown,feb-sept 1609
Brown,nov-jan 1609
Somers,feb-sept 1609
Thomas Dale,feb-sept 1609
Argall,feb-sept 1609
Argall,feb-sept 1609
Nos,feb-sept 1609
Somers,feb-sept 1609
Brown,feb-sept 1609
Thomas Smythe,feb-sept 1610
Edwin Sandys,feb-sept 1610
Brown,feb-sept 1610
Brown,feb-sept 1610
Smith,feb-sept 1610
Smith,feb-sept 1610
Edwin Sandys,feb-sept 1610
Thomas Dale,feb-sept 1610
Smith,feb-sept 1610
Smith,feb-sept 1610
Edwin Sandys,feb-sept 1610
Thomas Dale,feb-sept 1610
Somers,feb-sept 1610
Thomas Dale,feb-sept 1610
Argall,feb-sept 1610
Argall,feb-sept 1610
Nos,feb-sept 1610
Somers,feb-sept 1610
Brown,feb-sept 1610
Somers,feb-sept 1610
Thomas Dale,feb-sept 1610
Argall,feb-sept 1610
Argall,feb-sept 1610
Nos,feb-sept 1610
Somers,feb-sept 1610
Brown,feb-sept 1610
Brown,feb-sept 1611
Smith,nov-jan 1611
Smith,nov-jan 1611
Edwin Sandys,nov-jan 1611
Thomas Dale,nov-jan 1611
Smith,feb-sept 1611
Smith,feb-sept 1611
Edwin Sandys,feb-sept 1611
Thomas Dale,feb-sept 1611
Martin,feb-sept 1611
Martin,feb-sept 1611
Rich,feb-sept 1611
Brown,feb-sept 1611
Nos,feb-sept 1611
Nos,feb-sept 1611
Brown,feb-sept 1611
Martin,feb-sept 1611
Martin,feb-sept 1611
Rich,feb-sept 1611
Brown,feb-sept 1611
Nos,feb-sept 1611
Nos,feb-sept 1611
Brown,feb-sept 1611
Brown,feb-sept 1612
Thomas Smythe,nov-jan 1613
Rich,nov-jan 1613
Boates,nov-jan 1613
Nos,nov-jan 1613
Nos,feb-sept 1613
Martin,feb-sept 1614
Martin,feb-sept 1614
Rich,feb-sept 1614
Brown,feb-sept 1614
Nos,feb-sept 1614
Nos,feb-sept 1614
Brown,feb-sept 1614
Martin,feb-sept 1614
Martin,feb-sept 1614
Rich,feb-sept 1614
Brown,feb-sept 1614
Nos,feb-sept 1614
Nos,feb-sept 1614
Brown,feb-sept 1614
Thomas Smythe,feb-sept 1615
Rich,feb-sept 1615
Boates,feb-sept 1615
Nos,feb-sept 1615
Thomas Smythe,nov-jan 1614
Rich,nov-jan 1614
Boates,nov-jan 1614
Nos,nov-jan 1614
Martin,feb-sept 1616
Martin,feb-sept 1616
Rich,feb-sept 1616
Brown,feb-sept 1616
Nos,feb-sept 1616
Nos,feb-sept 1616
Brown,feb-sept 1616
Somers,feb-sept 1618
Thomas Dale,feb-sept 1618
Argall,feb-sept 1618
Argall,feb-sept 1618
Nos,feb-sept 1618
Somers,feb-sept 1618
Brown,feb-sept 1618
Somers,feb-sept 1618
Thomas Dale,feb-sept 1618
Argall,feb-sept 1618
Argall,feb-sept 1618
Nos,feb-sept 1618
Somers,feb-sept 1618
Brown,feb-sept 1618
Brown,feb-sept 1618
Nos,feb-sept 1618
Nos,feb-sept 1618
Thomas Smythe,feb-sept 1619
Rich,feb-sept 1619
Boates,feb-sept 1619
Nos,feb-sept 1619
Thomas Smythe,feb-sept 1619
Rich,feb-sept 1619
Boates,feb-sept 1619
Nos,feb-sept 1619
Thomas Smythe,feb-sept 1619
Thomas Smythe,feb-sept 1619
Nos,feb-sept 1619
Brown,feb-sept 1619
Somers,feb-sept 1619
Thomas Dale,feb-sept 1619
Argall,feb-sept 1619
Argall,feb-sept 1619
Nos,feb-sept 1619
Somers,feb-sept 1619
Brown,feb-sept 1619
Smith,feb-sept 1619
Thomas Smythe,nov-jan 1619
Rich,nov-jan 1619
Boates,nov-jan 1619
Nos,nov-jan 1619
Thomas Smythe,feb-sept 1620
Rich,feb-sept 1620
Boates,feb-sept 1620
Nos,feb-sept 1620
Edwin Sandys,nov-jan 1620
Edwin Sandys,nov-jan 1620
Smith,nov-jan 1620
Edwin Sandys,nov-jan 1620
Edwin Sandys,nov-jan 1620
Edwin Sandys,nov-jan 1619
Mellinge,nov-jan 1619
George Sandys,nov-jan 1619
Newport,nov-jan 1619
Edwyn Sandys,nov-jan 1619
Edwin Sandys,feb-sept 1620
George Sandys,feb-sept 1620
Edwin Sandys,feb-sept 1620
George Sandys,feb-sept 1620
Edwyn Sandys,feb-sept 1620
Edwyn Sandys,feb-sept 1620
Brown,feb-sept 1620
Brown,nov-jan 1620
Brown,feb-sept 1620
Smith,feb-sept 1621
Edwyn Sandys,feb-sept 1621
Edwyn Sandys,feb-sept 1621
Edwyn Sandys,feb-sept 1621
Edwyn Sandys,feb-sept 1621
Edwyn Sandys,feb-sept 1621
Somers,feb-sept 1621
Smith,feb-sept 1621
Thomas Dale,feb-sept 1621
Smith,feb-sept 1621
Edwyn Sandys,feb-sept 1621
George Sandys,feb-sept 1621
Jefferson,feb-sept 1621
Edwyn Sandys,feb-sept 1621
Gibbs,feb-sept 1621
Caswell,feb-sept 1621
Edwyn Sandys,feb-sept 1621
Edwyn Sandys,feb-sept 1621
Edwyn Sandys,feb-sept 1621
Edwin Sandys,feb-sept 1621
Gibbs,feb-sept 1621
George Sandys,feb-sept 1621
Edwyn Sandys,feb-sept 1621
George Sandys,feb-sept 1621
Caswell,feb-sept 1621
Gibbs,feb-sept 1621
Newport,feb-sept 1621
Edwin Sandys,feb-sept 1621
George Sandys,feb-sept 1621
Edwin Sandys,feb-sept 1621
Edwin Sandys,feb-sept 1621
Thomas Dale,feb-sept 1621
Smith,feb-sept 1621
Smith,feb-sept 1621
Edwin Sandys,feb-sept 1621
Edwin Sandys,feb-sept 1621
Edwin Sandys,feb-sept 1621
Edwin Sandys,feb-sept 1621
Smith,feb-sept 1621
Edwin Sandys,feb-sept 1621
Martin,feb-sept 1621
George Sandys,feb-sept 1621
George Sandys,feb-sept 1621
George Sandys,feb-sept 1621
Martin,feb-sept 1621
Martin,feb-sept 1621
Gibbs,feb-sept 1621
Smith,feb-sept 1621
Newport,feb-sept 1621
George Sandys,feb-sept 1621
George Sandys,feb-sept 1621
Newport,feb-sept 1621
Newport,feb-sept 1621
George Sandys,feb-sept 1621
Gibbs,feb-sept 1621
George Sandys,feb-sept 1621
Martin,feb-sept 1621
Edwin Sandys,feb-sept 1621
Edwin Sandys,feb-sept 1621
Gibbs,nov-jan 1621
Smith,nov-jan 1621
Caswell,nov-jan 1621
Mellinge,nov-jan 1621
Gibbs,nov-jan 1621
Smith,nov-jan 1621
Martin,nov-jan 1621
Mellinge,nov-jan 1621
Newport,nov-jan 1621
Martin,nov-jan 1621
Mellinge,nov-jan 1621
Gibbs,nov-jan 1621
Caswell,nov-jan 1621
Martin,nov-jan 1621
Mellinge,nov-jan 1621
Newport,nov-jan 1621
Edwin Sandys,nov-jan 1621
Martin,nov-jan 1621
Gibbs,nov-jan 1621
Gibbs,nov-jan 1621
Smith,nov-jan 1621
Caswell,nov-jan 1621
Smith,nov-jan 1621
Boates,nov-jan 1621
Gibbs,nov-jan 1621
Mellinge,nov-jan 1621
Gibbs,nov-jan 1621
Mellinge,nov-jan 1621
Newport,nov-jan 1621
Edwin Sandys,nov-jan 1621
Gibbs,nov-jan 1621
Edwin Sandys,nov-jan 1621
Christopher Davison,feb-sept 1621
Christopher Davison,feb-sept 1621
Christopher Davison,feb-sept 1621
Christopher Davison,nov-jan 1621
Christopher Davison,nov-jan 1621
Christopher Davison,nov-jan 1621
Thomas Smythe,feb-sept 1622
Rich,feb-sept 1622
Boates,feb-sept 1622
Nos,feb-sept 1622
Thomas Smythe,feb-sept 1622
Rich,feb-sept 1622
Boates,feb-sept 1622
Nos,feb-sept 1622
Thomas Smythe,feb-sept 1622
Rich,feb-sept 1622
Boates,feb-sept 1622
Nos,feb-sept 1622
Somers,feb-sept 1622
Thomas Dale,feb-sept 1622
Argall,feb-sept 1622
Argall,feb-sept 1622
Nos,feb-sept 1622
Somers,feb-sept 1622
Brown,feb-sept 1622
Caswell,nov-jan 1621
Mellinge,nov-jan 1621
Mellinge,nov-jan 1621
Caswell,nov-jan 1621
Edwin Sandys,nov-jan 1621
Gibbs,nov-jan 1621
Edwin Sandys,nov-jan 1621
Edwin Sandys,nov-jan 1621
Edwin Sandys,nov-jan 1621
Edwin Sandys,nov-jan 1621
Edwin Sandys,feb-sept 1622
Mellinge,feb-sept 1622
Gibbs,feb-sept 1622
Caswell,feb-sept 1622
Edwin Sandys,feb-sept 1622
Edwin Sandys,feb-sept 1622
Edwin Sandys,feb-sept 1622
Edwin Sandys,feb-sept 1622
Caswell,feb-sept 1622
Mellinge,feb-sept 1622
